date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,7777.41015625,7788.35009765625,7567.080078125,7645.27001953125,7645.27001953125,0
2021-01-05,7640.77001953125,7722.68994140625,7635.64013671875,7700.33984375,7700.33984375,0
2021-01-06,7744.43017578125,7744.43017578125,7744.43017578125,7744.43017578125,7744.43017578125,0
2021-01-07,7780.35009765625,7876.669921875,7780.35009765625,7861.10009765625,7861.10009765625,0
2021-01-08,7885.35986328125,7909.31982421875,7820.3798828125,7905.27978515625,7905.27978515625,0
2021-01-11,7860.759765625,7891.06982421875,7831.669921875,7853.4501953125,7853.4501953125,0
2021-01-12,7857.60009765625,7876.47021484375,7806.14990234375,7856.72021484375,7856.72021484375,0
2021-01-13,7859.009765625,7897.7099609375,7837.1201171875,7874.75,7874.75,0
2021-01-14,7886.27001953125,7903.97998046875,7840.56005859375,7846.10009765625,7846.10009765625,0
2021-01-15,7832.1298828125,7832.1298828125,7751.66015625,7789.7900390625,7789.7900390625,0
2021-01-19,7818.259765625,7864.8798828125,7815.259765625,7853.47021484375,7853.47021484375,0
2021-01-20,7889.27001953125,7979.259765625,7889.27001953125,7962.919921875,7962.919921875,0
2021-01-21,7975.18994140625,7983.27978515625,7949.7001953125,7966.10986328125,7966.10986328125,0
2021-01-22,7947.9501953125,7964.6298828125,7919.75,7942.2001953125,7942.2001953125,0
2021-01-25,7963.330078125,7978.91015625,7850.60009765625,7970.919921875,7970.919921875,0
2021-01-26,7986.68017578125,8001.990234375,7955.35986328125,7959.10009765625,7959.10009765625,0
2021-01-27,7932.669921875,7932.669921875,7717.66015625,7754.740234375,7754.740234375,0
2021-01-28,7765.83984375,7920.18017578125,7765.83984375,7831.22021484375,7831.22021484375,0
2021-01-29,7812.93994140625,7812.93994140625,7639.39990234375,7681.009765625,7681.009765625,0
2021-02-01,7716.0400390625,7825.9501953125,7704.89013671875,7804.31005859375,7804.31005859375,0
2021-02-02,7841.580078125,7947.56005859375,7841.580078125,7912.8701171875,7912.8701171875,0
2021-02-03,7941.72998046875,7956.68017578125,7893.06005859375,7920.85009765625,7920.85009765625,0
2021-02-04,7935.06005859375,8008.41015625,7935.06005859375,8007.6201171875,8007.6201171875,0
2021-02-05,8022.02001953125,8055.56982421875,8015.14013671875,8039.669921875,8039.669921875,0
2021-02-08,8051.75,8099.41015625,8051.75,8099.330078125,8099.330078125,0
2021-02-09,8090.18017578125,8106.25,8074.0400390625,8091.7001953125,8091.7001953125,0
2021-02-10,8111.66015625,8133.31005859375,8037.52001953125,8089.10986328125,8089.10986328125,0
2021-02-11,8104.25,8124.0,8050.7099609375,8104.18994140625,8104.18994140625,0
2021-02-12,8094.81005859375,8147.259765625,8083.60986328125,8142.7900390625,8142.7900390625,0
2021-02-16,8153.68994140625,8175.830078125,8121.47021484375,8139.16015625,8139.16015625,0
2021-02-17,8111.31982421875,8142.490234375,8074.509765625,8137.8798828125,8137.8798828125,0
2021-02-18,8106.14990234375,8118.77978515625,8042.5,8102.240234375,8102.240234375,0
2021-02-19,8117.60009765625,8136.75,8081.47021484375,8087.68017578125,8087.68017578125,0
2021-02-22,8044.5498046875,8080.47021484375,8022.6298828125,8025.81005859375,8025.81005859375,0
2021-02-23,7985.759765625,8066.25,7879.3798828125,8036.06005859375,8036.06005859375,0
2021-02-24,8020.2998046875,8134.02978515625,7991.14013671875,8127.3798828125,8127.3798828125,0
2021-02-25,8108.580078125,8127.41015625,7897.97998046875,7929.56005859375,7929.56005859375,0
2021-02-26,7951.83984375,7995.85009765625,7848.0498046875,7892.81005859375,7892.81005859375,0
2021-03-01,7957.9599609375,8107.009765625,7957.9599609375,8080.77978515625,8080.77978515625,0
2021-03-02,8084.60009765625,8090.06005859375,8012.83984375,8015.5400390625,8015.5400390625,0
2021-03-03,8002.89990234375,8024.06005859375,7909.85986328125,7911.2099609375,7911.2099609375,0
2021-03-04,7910.1201171875,7961.43017578125,7712.97021484375,7806.4501953125,7806.4501953125,0
2021-03-05,7858.7998046875,7979.169921875,7727.669921875,7958.97998046875,7958.97998046875,0
2021-03-08,7964.14013671875,8040.06982421875,7912.33984375,7916.41015625,7916.41015625,0
2021-03-09,7980.490234375,8087.83984375,7980.490234375,8029.2001953125,8029.2001953125,0
2021-03-10,8063.93994140625,8116.4501953125,8051.18017578125,8078.0498046875,8078.0498046875,0
