date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,516.2000122070312,518.2999877929688,509.79998779296875,512.0999755859375,461.8316650390625,343503
2021-01-05,509.6000061035156,515.7999877929688,503.3999938964844,506.20001220703125,456.5107727050781,303053
2021-01-06,511.8999938964844,512.2999877929688,499.3500061035156,502.29998779296875,452.9936218261719,439147
2021-01-07,505.20001220703125,518.2999877929688,501.1000061035156,515.2999877929688,464.717529296875,458616
2021-01-08,520.5,525.2999877929688,516.5,525.2999877929688,473.7359619140625,458513
2021-01-11,522.0,525.0999755859375,518.0999755859375,522.4000244140625,471.12066650390625,394924
2021-01-12,522.0,523.0,513.5,515.7999877929688,465.1684875488281,374428
2021-01-13,517.2000122070312,520.2999877929688,510.29998779296875,512.0999755859375,461.8316650390625,317983
2021-01-14,513.4000244140625,515.2000122070312,508.0,508.0,458.1341247558594,446027
2021-01-15,506.0,508.20001220703125,492.45001220703125,493.95001220703125,445.4632873535156,692278
2021-01-18,494.0,501.8999938964844,494.0,499.6499938964844,450.6037292480469,342930
2021-01-19,502.1000061035156,502.79998779296875,489.04998779296875,491.04998779296875,442.84796142578125,468063
2021-01-20,493.0,507.79998779296875,492.20001220703125,507.70001220703125,457.86358642578125,592958
2021-01-21,510.8999938964844,512.2999877929688,507.6000061035156,507.6000061035156,457.7733459472656,333005
2021-01-22,507.0,512.0999755859375,503.5,511.5,461.29052734375,425645
2021-01-25,513.2999877929688,514.5,501.3999938964844,501.8999938964844,452.6329040527344,415757
2021-01-26,500.5,513.5,500.29998779296875,508.0,458.1341247558594,391663
2021-01-27,515.0,518.0,495.04998779296875,506.3999938964844,456.6911926269531,669459
2021-01-28,504.0,517.0999755859375,499.04998779296875,517.0,466.25067138671875,511413
2021-01-29,507.5,510.6000061035156,498.29998779296875,498.29998779296875,449.38629150390625,817196
2021-02-01,505.0,509.6000061035156,501.6000061035156,507.70001220703125,457.86358642578125,430015
2021-02-02,512.7000122070312,524.9000244140625,511.1000061035156,524.9000244140625,473.375244140625,547709
2021-02-03,526.0999755859375,528.7999877929688,520.5999755859375,524.5,473.01446533203125,369967
2021-02-04,523.2999877929688,525.7999877929688,520.2999877929688,525.0999755859375,473.5555114746094,312012
2021-02-05,527.0,530.2999877929688,523.5999755859375,528.7000122070312,476.80218505859375,304785
2021-02-08,530.7999877929688,533.2999877929688,525.7000122070312,527.9000244140625,476.0806884765625,328124
2021-02-09,531.5999755859375,541.0999755859375,528.0,537.0,484.2874450683594,376854
2021-02-10,541.9000244140625,542.0999755859375,527.0999755859375,529.5,477.523681640625,302934
2021-02-11,530.0,533.0999755859375,526.5,531.5,479.3274230957031,362743
2021-02-12,529.2999877929688,529.7000122070312,525.5,529.2999877929688,477.34326171875,312149
2021-02-15,531.2000122070312,536.2999877929688,529.4000244140625,535.9000244140625,483.2953796386719,304779
2021-02-16,535.9000244140625,540.2000122070312,531.5999755859375,539.7999877929688,486.8125305175781,297402
2021-02-17,536.0,541.5999755859375,530.5999755859375,535.0,482.48382568359375,364343
2021-02-18,534.2000122070312,538.4000244140625,530.5,534.0,481.5819396972656,345527
2021-02-19,536.5999755859375,544.0,536.0999755859375,541.7999877929688,488.6162109375,420401
2021-02-22,539.7000122070312,543.5999755859375,535.4000244140625,542.9000244140625,489.6083068847656,281071
