date,ticker,name,currency,asset_type,open,high,low,close,adj_close,volume,usd_per_unit,fx_filled,close_usd,adj_close_usd
2021-01-01,RELIANCE.NS,Reliance Industries,INR,stock,917.461669921875,921.6151733398438,914.6926879882812,917.23095703125,897.0470581054688,10015175,0.013681911425824023,0,12.549472711125363,12.273318393795039
2021-01-04,RELIANCE.NS,Reliance Industries,INR,stock,920.7383422851562,922.4920043945312,908.231689453125,918.7769775390625,898.55908203125,24513534,0.013681387303027093,0,12.570143674816538,12.293534815922024
2021-01-05,RELIANCE.NS,Reliance Industries,INR,stock,908.6931762695312,915.4310913085938,902.6936645507812,907.3548583984375,887.3883056640625,24123091,0.013638843482845673,0,12.375270897095888,12.102950209459763
2021-01-06,RELIANCE.NS,Reliance Industries,INR,stock,907.2625122070312,907.3086547851562,879.2264404296875,883.4260864257812,863.9860229492188,46401468,0.013628656946349849,0,12.039911069353385,11.77496911321605
2021-01-07,RELIANCE.NS,Reliance Industries,INR,stock,886.3104248046875,897.6171875,879.2264404296875,881.9954223632812,862.5868530273438,32325918,0.013631406647765127,0,12.022838263701242,11.758272162631734
2021-01-08,RELIANCE.NS,Reliance Industries,INR,stock,885.1566772460938,894.5712890625,882.433837890625,892.4022216796875,872.7647094726562,27540187,0.01361544551962383,0,12.150453830871053,11.883080353275272
2021-01-11,RELIANCE.NS,Reliance Industries,INR,stock,894.755859375,894.755859375,873.388427734375,875.58056640625,856.313232421875,33307825,0.013628917695154036,0,11.933215475027135,11.670622565949042
2021-01-12,RELIANCE.NS,Reliance Industries,INR,stock,878.2341918945312,904.5396728515625,876.8035278320312,903.1782836914062,883.3036499023438,41161546,0.013602944343354788,0,12.285883925180901,12.015530387903725
2021-01-13,RELIANCE.NS,Reliance Industries,INR,stock,906.177978515625,911.4390869140625,885.3643798828125,894.755859375,875.0665893554688,26619458,0.013667737135062023,0,12.22928788599402,11.96018011898581
2021-01-14,RELIANCE.NS,Reliance Industries,INR,stock,897.6171875,907.7240600585938,894.8712768554688,904.8165893554688,884.9058227539062,21553242,0.013666822202121365,0,12.36596745225105,12.09385054519956
