date,ticker,name,currency,asset_type,open,high,low,close,adj_close,volume,usd_per_unit,fx_filled,close_usd,adj_close_usd
2021-01-04,JPM,JPMorgan Chase,USD,stock,127.5,127.86000061035156,124.77999877929688,125.87000274658203,109.00054168701172,16819900,1.0,0,125.87000274658203,109.00054168701172
2021-01-05,JPM,JPMorgan Chase,USD,stock,124.98999786376953,126.30000305175781,123.7699966430664,125.6500015258789,109.5936279296875,13731200,1.0,0,125.6500015258789,109.5936279296875
2021-01-06,JPM,JPMorgan Chase,USD,stock,129.8800048828125,132.77000427246094,127.87999725341797,131.5500030517578,114.73968505859375,24909100,1.0,0,131.5500030517578,114.73968505859375
2021-01-07,JPM,JPMorgan Chase,USD,stock,135.69000244140625,138.19000244140625,134.9199981689453,135.8699951171875,118.50764465332031,21940400,1.0,0,135.8699951171875,118.50764465332031
2021-01-08,JPM,JPMorgan Chase,USD,stock,135.97000122070312,136.35000610351562,134.1199951171875,136.02000427246094,118.63848876953125,12035100,1.0,0,136.02000427246094,118.63848876953125
2021-01-11,JPM,JPMorgan Chase,USD,stock,134.5800018310547,138.1999969482422,134.11000061035156,138.0500030517578,120.40904998779297,15937900,1.0,0,138.0500030517578,120.40904998779297
2021-01-12,JPM,JPMorgan Chase,USD,stock,139.44000244140625,141.66000366210938,138.8300018310547,140.22000122070312,122.30176544189453,18033500,1.0,0,140.22000122070312,122.30176544189453
2021-01-13,JPM,JPMorgan Chase,USD,stock,138.58999633789062,140.7899932861328,138.10000610351562,140.35000610351562,122.4151840209961,14816800,1.0,0,140.35000610351562,122.4151840209961
2021-01-14,JPM,JPMorgan Chase,USD,stock,140.49000549316406,142.75,140.0,141.1699981689453,123.13037109375,18565600,1.0,0,141.1699981689453,123.13037109375
2021-01-15,JPM,JPMorgan Chase,USD,stock,137.42999267578125,141.64999389648438,137.00999450683594,138.63999938964844,120.92369079589844,27881000,1.0,0,138.63999938964844,120.92369079589844
2021-01-19,JPM,JPMorgan Chase,USD,stock,139.86000061035156,140.6999969482422,137.82000732421875,138.0399932861328,120.40033721923828,19843800,1.0,0,138.0399932861328,120.40033721923828
2021-01-20,JPM,JPMorgan Chase,USD,stock,137.82000732421875,138.1699981689453,135.44000244140625,135.97000122070312,118.59486389160156,16028800,1.0,0,135.97000122070312,118.59486389160156
2021-01-21,JPM,JPMorgan Chase,USD,stock,135.69000244140625,136.16000366210938,134.32000732421875,134.8300018310547,117.60051727294922,13411700,1.0,0,134.8300018310547,117.60051727294922
2021-01-22,JPM,JPMorgan Chase,USD,stock,132.69000244140625,134.39999389648438,132.1999969482422,133.7899932861328,116.6934585571289,12933200,1.0,0,133.7899932861328,116.6934585571289
2021-01-25,JPM,JPMorgan Chase,USD,stock,132.13999938964844,133.1699981689453,130.05999755859375,132.1199951171875,115.23686981201172,14212800,1.0,0,132.1199951171875,115.23686981201172
2021-01-26,JPM,JPMorgan Chase,USD,stock,132.75,133.1699981689453,131.33999633789062,131.5800018310547,114.76587677001953,11307800,1.0,0,131.5800018310547,114.76587677001953
2021-01-27,JPM,JPMorgan Chase,USD,stock,129.58999633789062,129.85000610351562,127.3499984741211,127.86000061035156,111.52120971679688,17603900,1.0,0,127.86000061035156,111.52120971679688
2021-01-28,JPM,JPMorgan Chase,USD,stock,129.89999389648438,132.1699981689453,128.99000549316406,130.11000061035156,113.48368835449219,13761800,1.0,0,130.11000061035156,113.48368835449219
2021-01-29,JPM,JPMorgan Chase,USD,stock,131.19000244140625,131.72000122070312,128.19000244140625,128.6699981689453,112.22771453857422,14808100,1.0,0,128.6699981689453,112.22771453857422
2021-02-01,JPM,JPMorgan Chase,USD,stock,129.39999389648438,130.07000732421875,128.47999572753906,129.6199951171875,113.05633544921875,11080700,1.0,0,129.6199951171875,113.05633544921875
2021-02-02,JPM,JPMorgan Chase,USD,stock,131.94000244140625,134.38999938964844,131.22000122070312,133.61000061035156,116.53643798828125,12253600,1.0,0,133.61000061035156,116.53643798828125
2021-02-03,JPM,JPMorgan Chase,USD,stock,133.64999389648438,135.75999450683594,133.50999450683594,135.13999938964844,117.87093353271484,10600800,1.0,0,135.13999938964844,117.87093353271484
2021-02-04,JPM,JPMorgan Chase,USD,stock,135.47000122070312,138.66000366210938,135.47000122070312,138.25,120.5835189819336,12419500,1.0,0,138.25,120.5835189819336
2021-02-05,JPM,JPMorgan Chase,USD,stock,139.38999938964844,139.49000549316406,137.3800048828125,137.97999572753906,120.3480224609375,10051300,1.0,0,137.97999572753906,120.3480224609375
2021-02-08,JPM,JPMorgan Chase,USD,stock,138.1999969482422,140.3000030517578,138.17999267578125,140.13999938964844,122.23202514648438,10136400,1.0,0,140.13999938964844,122.23202514648438
2021-02-09,JPM,JPMorgan Chase,USD,stock,139.42999267578125,139.97999572753906,138.5399932861328,139.5800018310547,121.74356079101562,8614800,1.0,0,139.5800018310547,121.74356079101562
2021-02-10,JPM,JPMorgan Chase,USD,stock,140.0,140.8699951171875,139.0399932861328,139.66000366210938,121.81333923339844,10323200,1.0,0,139.66000366210938,121.81333923339844
2021-02-11,JPM,JPMorgan Chase,USD,stock,139.66000366210938,140.5500030517578,138.22000122070312,139.27000427246094,121.47319030761719,9201000,1.0,0,139.27000427246094,121.47319030761719
2021-02-12,JPM,JPMorgan Chase,USD,stock,139.0500030517578,141.61000061035156,139.0,141.25,123.20016479492188,8324600,1.0,0,141.25,123.20016479492188
2021-02-16,JPM,JPMorgan Chase,USD,stock,143.5500030517578,145.32000732421875,142.39999389648438,144.64999389648438,126.16568756103516,12130600,1.0,0,144.64999389648438,126.16568756103516
2021-02-17,JPM,JPMorgan Chase,USD,stock,143.9499969482422,145.3800048828125,143.1199951171875,145.10000610351562,126.55817413330078,10810100,1.0,0,145.10000610351562,126.55817413330078
2021-02-18,JPM,JPMorgan Chase,USD,stock,144.0,145.7899932861328,143.39999389648438,145.58999633789062,126.98556518554688,10587800,1.0,0,145.58999633789062,126.98556518554688
2021-02-19,JPM,JPMorgan Chase,USD,stock,145.86000061035156,148.83999633789062,145.86000061035156,148.02000427246094,129.10508728027344,11969800,1.0,0,148.02000427246094,129.10508728027344
2021-02-22,JPM,JPMorgan Chase,USD,stock,146.8699951171875,150.19000244140625,146.7899932861328,149.41000366210938,130.31744384765625,11488400,1.0,0,149.41000366210938,130.31744384765625
2021-02-23,JPM,JPMorgan Chase,USD,stock,151.50999450683594,152.30999755859375,149.58999633789062,150.61000061035156,131.3640899658203,16234400,1.0,0,150.61000061035156,131.3640899658203
2021-02-24,JPM,JPMorgan Chase,USD,stock,150.11000061035156,153.75999450683594,150.11000061035156,153.25999450683594,133.67543029785156,15061400,1.0,0,153.25999450683594,133.67543029785156
2021-02-25,JPM,JPMorgan Chase,USD,stock,154.27000427246094,154.89999389648438,150.58999633789062,151.17999267578125,131.86123657226562,18127700,1.0,0,151.17999267578125,131.86123657226562
