date,ticker,name,currency,asset_type,open,high,low,close,adj_close,volume,usd_per_unit,fx_filled,close_usd,adj_close_usd
2021-01-04,MC.PA,LVMH,EUR,stock,516.2000122070312,518.2999877929688,509.79998779296875,512.0999755859375,461.8316650390625,343503,1.2250697612762451,0,627.3581948406354,565.7760076392151
2021-01-05,MC.PA,LVMH,EUR,stock,509.6000061035156,515.7999877929688,503.3999938964844,506.20001220703125,456.5107727050781,303053,1.2251598834991455,0,620.1759479828324,559.2986851034584
2021-01-06,MC.PA,LVMH,EUR,stock,511.8999938964844,512.2999877929688,499.3500061035156,502.29998779296875,452.9936218261719,439147,1.230027437210083,0,617.8427666956413,557.1945837273597
2021-01-07,MC.PA,LVMH,EUR,stock,505.20001220703125,518.2999877929688,501.1000061035156,515.2999877929688,464.717529296875,458616,1.2341108322143555,0,635.9372967752279,573.5129368251655
2021-01-08,MC.PA,LVMH,EUR,stock,520.5,525.2999877929688,516.5,525.2999877929688,473.7359619140625,458513,1.227144479751587,0,644.6189802337176,581.3424705226498
2021-01-11,MC.PA,LVMH,EUR,stock,522.0,525.0999755859375,518.0999755859375,522.4000244140625,471.12066650390625,394924,1.2186205387115479,0,636.6073991743906,574.1173204131337
2021-01-12,MC.PA,LVMH,EUR,stock,522.0,523.0,513.5,515.7999877929688,465.1684875488281,374428,1.2160701751708984,0,627.2489815085428,565.6775241374853
2021-01-13,MC.PA,LVMH,EUR,stock,517.2000122070312,520.2999877929688,510.29998779296875,512.0999755859375,461.8316650390625,317983,1.2208894491195679,0,625.2174570872594,563.8454071155138
2021-01-14,MC.PA,LVMH,EUR,stock,513.4000244140625,515.2000122070312,508.0,508.0,458.1341247558594,446027,1.2162491083145142,0,617.8545470237732,557.2052207227644
2021-01-15,MC.PA,LVMH,EUR,stock,506.0,508.20001220703125,492.45001220703125,493.95001220703125,445.4632873535156,692278,1.2151259183883667,0,600.2114622210138,541.2939861537416
2021-01-18,MC.PA,LVMH,EUR,stock,494.0,501.8999938964844,494.0,499.6499938964844,450.6037292480469,342930,1.2068113088607788,0,602.9832631064965,543.7936762713834
2021-01-19,MC.PA,LVMH,EUR,stock,502.1000061035156,502.79998779296875,489.04998779296875,491.04998779296875,442.84796142578125,468063,1.207729458808899,0,593.0555360053186,534.8405287873829
2021-01-20,MC.PA,LVMH,EUR,stock,493.0,507.79998779296875,492.20001220703125,507.70001220703125,457.86358642578125,592958,1.2138868570327759,0,616.2903721334951,555.7945898761463
2021-01-21,MC.PA,LVMH,EUR,stock,510.8999938964844,512.2999877929688,507.6000061035156,507.6000061035156,457.7733459472656,333005,1.2115631103515625,0,614.9894422092475,554.621298851911
2021-01-22,MC.PA,LVMH,EUR,stock,507.0,512.0999755859375,503.5,511.5,461.29052734375,425645,1.2166293859481812,0,622.3059309124947,561.2196110259392
2021-01-25,MC.PA,LVMH,EUR,stock,513.2999877929688,514.5,501.3999938964844,501.8999938964844,452.6329040527344,415757,1.216944694519043,0,610.7845347514667,550.8292111517221
2021-01-26,MC.PA,LVMH,EUR,stock,500.5,513.5,500.29998779296875,508.0,458.1341247558594,391663,1.214624047279358,0,617.0290160179138,556.4607248077482
2021-01-27,MC.PA,LVMH,EUR,stock,515.0,518.0,495.04998779296875,506.3999938964844,456.6911926269531,669459,1.216299295425415,0,615.9339557797284,555.4731758191556
2021-01-28,MC.PA,LVMH,EUR,stock,504.0,517.0999755859375,499.04998779296875,517.0,466.25067138671875,511413,1.2105072736740112,0,625.8322604894638,564.3998290690142
2021-01-29,MC.PA,LVMH,EUR,stock,507.5,510.6000061035156,498.29998779296875,498.29998779296875,449.38629150390625,817196,1.2120037078857422,0,603.9414328444982,544.6578515757574
2021-02-01,MC.PA,LVMH,EUR,stock,505.0,509.6000061035156,501.6000061035156,507.70001220703125,457.86358642578125,430015,1.2123857736587524,0,615.5282720861796,555.1072984589919
