date,ticker,name,currency,asset_type,open,high,low,close,adj_close,volume,usd_per_unit,fx_filled,close_usd,adj_close_usd
2021-01-04,AAPL,Apple,USD,stock,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,125.74085235595703,143301900,1.0,0,129.41000366210938,125.74085235595703
2021-01-05,AAPL,Apple,USD,stock,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,127.29547119140625,97664900,1.0,0,131.00999450683594,127.29547119140625
2021-01-06,AAPL,Apple,USD,stock,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,123.0105209350586,155088000,1.0,0,126.5999984741211,123.0105209350586
2021-01-07,AAPL,Apple,USD,stock,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,127.20804595947266,109578200,1.0,0,130.9199981689453,127.20804595947266
2021-01-08,AAPL,Apple,USD,stock,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,128.3059844970703,105158200,1.0,0,132.0500030517578,128.3059844970703
2021-01-11,AAPL,Apple,USD,stock,129.19000244140625,130.1699981689453,128.5,128.97999572753906,125.32304382324219,100384500,1.0,0,128.97999572753906,125.32304382324219
2021-01-12,AAPL,Apple,USD,stock,128.5,129.69000244140625,126.86000061035156,128.8000030517578,125.14812469482422,91951100,1.0,0,128.8000030517578,125.14812469482422
2021-01-13,AAPL,Apple,USD,stock,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,127.17890930175781,88636800,1.0,0,130.88999938964844,127.17890930175781
2021-01-14,AAPL,Apple,USD,stock,130.8000030517578,131.0,128.75999450683594,128.91000366210938,125.25504302978516,90221800,1.0,0,128.91000366210938,125.25504302978516
2021-01-15,AAPL,Apple,USD,stock,128.77999877929688,130.22000122070312,127.0,127.13999938964844,123.53519439697266,111598500,1.0,0,127.13999938964844,123.53519439697266
2021-01-19,AAPL,Apple,USD,stock,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,124.20563507080078,90757300,1.0,0,127.83000183105469,124.20563507080078
2021-01-20,AAPL,Apple,USD,stock,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,128.28656005859375,104319500,1.0,0,132.02999877929688,128.28656005859375
2021-01-21,AAPL,Apple,USD,stock,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,132.98928833007812,120150900,1.0,0,136.8699951171875,132.98928833007812
2021-01-22,AAPL,Apple,USD,stock,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,135.12696838378906,114459400,1.0,0,139.07000732421875,135.12696838378906
2021-01-25,AAPL,Apple,USD,stock,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,138.86781311035156,157611700,1.0,0,142.9199981689453,138.86781311035156
2021-01-26,AAPL,Apple,USD,stock,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,139.10101318359375,98390600,1.0,0,143.16000366210938,139.10101318359375
2021-01-27,AAPL,Apple,USD,stock,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,138.0321807861328,140843800,1.0,0,142.05999755859375,138.0321807861328
